genus_and_species,taxonomy_id,strain,superkingdom,phylum,class,order,family,genus,assembly_or_accession,Genome_GC,Genome_size,16S_accssion,16S_GC,Tmin,Topt_ave,Topt_low,Topt_high,Tmax,Tmax_Tmin
Methanopyrus kandleri,2320,116,Archaea,Euryarchaeota,Methanopyri,Methanopyrales,Methanopyraceae,Methanopyrus,,,,AB301476,67.7,85.0,100.0,,,122.0,37.0
Geogemma barossii,1927912,121,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Pyrodictiaceae,Geogemma,,,,,,85.0,106.0,,,121.0,36.0
Pyrolobus fumarii,54252,1A,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Pyrodictiaceae,Pyrolobus,GCA_000223395.1,54.9,1.8,X99555,68.4,90.0,106.0,,,113.0,23.0
Pyrococcus kukulkanii,1609559,NCB100,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,GCA_001577775.1,44.6,2.0,CP010835,66.5,70.0,105.0,,,112.0,42.0
Methanopyrus kandleri,2320,AV19,Archaea,Euryarchaeota,Methanopyri,Methanopyrales,Methanopyraceae,Methanopyrus,GCA_000007185.1,61.2,1.7,NR_074539,68.1,84.0,98.0,,,110.0,38.0
Pyrodictium brockii,35616,S1,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Pyrodictiaceae,Pyrodictium,,62.0,,NR_104987,68.7,80.0,105.0,,,110.0,30.0
Pyrodictium occultum,2309,PL-19,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Pyrodictiaceae,Pyrodictium,,63.5,,M21087,68.7,82.0,105.0,,,110.0,28.0
Pyrodictium abyssi,54256,AV2,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Pyrodictiaceae,Pyrodictium,,59.0,,NR_104986,69.1,80.0,97.0,,,110.0,30.0
Pyrococcus yayanosii,1008460,CH1,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,GCA_000215995.1,51.6,1.7,EU682399,66.7,80.0,98.0,,,108.0,28.0
Hyperthermus butylicus,54248,DSM 5456,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Pyrodictiaceae,Hyperthermus,GCA_000015145.1,53.7,1.7,X99553,66.3,72.0,100.5,95.0,106.0,108.0,36.0
Pyrobaculum aerophilum,13773,IM2 ,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Pyrobaculum,GCA_000007225.1,51.4,2.2,L07510,60.2,75.0,100.0,,,104.0,29.0
Pyrococcus glycovorans,74610,AL585,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,,47.0,,Z70247,67.3,75.0,95.0,,,104.0,29.0
Pyrococcus furiosus,2261,Vc1,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,GCA_000007305.1,40.8,1.9,U20163,66.2,70.0,100.0,,,103.0,33.0
Thermococcus fumicolans,46540,ST557,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,,54.5,,Z70250,65.1,73.0,87.5,85.0,90.0,103.0,30.0
Pyrobaculum organotrophum,2278,JCM 9190,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Pyrobaculum,,46.0,,AB063647,68.2,78.0,102.0,,,102.0,24.0
Pyrobaculum islandicum,2277,GEO3,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Pyrobaculum,GCA_000015205.1,49.6,1.8,L07511,66.4,74.0,100.0,,,102.0,28.0
Pyrococcus horikoshii,53953,OT3,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,GCA_000011105.1,41.9,1.7,D45214,66.6,80.0,98.0,,,102.0,22.0
Pyrococcus abyssi,29292,GE5,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,GCA_000195935.2,44.7,1.8,L19921,66.8,67.0,96.0,,,102.0,35.0
Stetteria hydrogenophila,52001,DSM 11227,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Stetteria,,65.0,,Y07784,66.7,70.0,95.0,,,102.0,32.0
Thermoproteus uzoniensis,184117,Z-605,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Thermoproteus,GCA_000193375.1,59.7,1.9,CP002590,67.6,74.0,90.0,,,102.0,28.0
Aeropyrum pernix,56636,K1,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Aeropyrum,GCA_000011125.1,56.3,1.7,D83259,67.7,70.0,92.5,,,100.0,30.0
Pyrobaculum arsenaticum,121277,PZ6,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Pyrobaculum,GCA_000016385.1,55.1,2.1,AJ277124,67.8,68.0,90.0,,,100.0,32.0
Thermofilum pendens,2269,Hvv3,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermofilaceae,Thermofilum,GCA_000015225.1,57.7,1.8,X14835,65.2,85.0,87.5,,,100.0,15.0
